Sample_ID,category1,category2,Kingdom,Phylum,Class,Order,value
X2,larvae,lab larvae,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,0
X3,larvae,lab larvae,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,0
X4,larvae,lab larvae,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,0.024577728
X8,water,lab water,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,0
X9,water,lab water,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,0
AA100,water,field water,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,0.40409419
AA101,water,field water,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,0.205062597
AA103,water,field water,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,0.269130239
AA106,water,field water,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,0.087008661
AA107,water,field water,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,0.680742554
AA108,water,field water,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,0.076923077
AA109,water,field water,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,0.173402208
AA112,water,field water,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,0.307775093
AA113,water,field water,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,0.10780586
AA62,water,field water,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,0.684432162
AA63,water,field water,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,0.496715382
AA65,water,field water,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,0.251495414
AA66,water,field water,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,0.333623599
AA67,water,field water,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,0.301285634
AA79,water,field water,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,0.126472094
AA82,water,field water,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,0.226075208
AA84,water,field water,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,0.225695901
