ID,Treatment,Day_Pupation
252,Conventionally Reared,15
253,Conventionally Reared,15
254,Conventionally Reared,15
255,Conventionally Reared,15
256,Conventionally Reared,15
257,Conventionally Reared,15
258,Conventionally Reared,15
259,Conventionally Reared,15
260,Conventionally Reared,15
261,Conventionally Reared,15
262,Conventionally Reared,15
263,Conventionally Reared,15
264,Conventionally Reared,15
265,Conventionally Reared,15
266,Conventionally Reared,15
267,Conventionally Reared,15
268,Conventionally Reared,15
269,Conventionally Reared,16
270,Conventionally Reared,16
271,Conventionally Reared,16
272,Conventionally Reared,16
273,Conventionally Reared,16
274,Conventionally Reared,16
275,Conventionally Reared,16
276,Conventionally Reared,16
277,Conventionally Reared,17
278,Conventionally Reared,17
279,Conventionally Reared,17
280,Conventionally Reared,17
281,Conventionally Reared,17
282,Conventionally Reared,18
283,Conventionally Reared,18
284,Conventionally Reared,18
285,Conventionally Reared,18
286,Conventionally Reared,18
287,Conventionally Reared,18
288,Conventionally Reared,18
289,Conventionally Reared,18
290,Conventionally Reared,19
291,Conventionally Reared,19
292,Conventionally Reared,19
293,Conventionally Reared,19
294,Conventionally Reared,19
295,Conventionally Reared,20
296,Conventionally Reared,21
297,Conventionally Reared,21
298,Conventionally Reared,21
299,Conventionally Reared,22
300,Conventionally Reared,22
301,Conventionally Reared,22
302,Conventionally Reared,11
303,Conventionally Reared,11
304,Conventionally Reared,11
305,Conventionally Reared,11
306,Conventionally Reared,11
307,Conventionally Reared,11
308,Conventionally Reared,12
309,Conventionally Reared,12
310,Conventionally Reared,12
311,Conventionally Reared,12
312,Conventionally Reared,12
313,Conventionally Reared,12
314,Conventionally Reared,12
315,Conventionally Reared,12
316,Conventionally Reared,12
317,Conventionally Reared,12
318,Conventionally Reared,12
319,Conventionally Reared,12
320,Conventionally Reared,12
321,Conventionally Reared,12
322,Conventionally Reared,12
323,Conventionally Reared,12
324,Conventionally Reared,12
325,Conventionally Reared,13
326,Conventionally Reared,13
327,Conventionally Reared,13
328,Conventionally Reared,13
329,Conventionally Reared,13
330,Conventionally Reared,13
331,Conventionally Reared,13
332,Conventionally Reared,13
333,Conventionally Reared,13
334,Conventionally Reared,13
335,Conventionally Reared,13
336,Conventionally Reared,13
337,Conventionally Reared,13
338,Conventionally Reared,13
339,Conventionally Reared,13
340,Conventionally Reared,13
341,Conventionally Reared,13
342,Conventionally Reared,13
343,Conventionally Reared,13
344,Conventionally Reared,13
345,Conventionally Reared,13
346,Conventionally Reared,13
347,Conventionally Reared,13
348,Conventionally Reared,13
349,Conventionally Reared,13
350,Conventionally Reared,13
351,Conventionally Reared,13
352,Conventionally Reared,13
353,Conventionally Reared,13
354,Conventionally Reared,13
355,Conventionally Reared,13
356,Conventionally Reared,13
357,Conventionally Reared,13
358,Conventionally Reared,13
359,Conventionally Reared,13
360,Conventionally Reared,13
361,Conventionally Reared,13
362,Conventionally Reared,13
363,Conventionally Reared,13
364,Conventionally Reared,14
365,Conventionally Reared,14
366,Conventionally Reared,14
367,Conventionally Reared,14
368,Conventionally Reared,14
369,Conventionally Reared,14
370,Conventionally Reared,14
371,Conventionally Reared,14
372,Conventionally Reared,14
373,Conventionally Reared,14
374,Conventionally Reared,14
